ลำดับ,รหัสเดิม,รหัสใหม่,ประเภท,สี,ยาว,กว้าง,สูง,ราคา
1,A022-23-GRY,OT022-GRY-00-23-00,อื่นๆ,เทา,,23,,
2,A03-45-BLK,OT03-BLK-00-45-00,อื่นๆ,ดำ,,45,,
3,A03-20-GLD,OT03-GLD-00-20-00,อื่นๆ,ทอง,,20,,
4,A14-2-00-GLD,OT142-GLD-00-00-00,อื่นๆ,ทอง,,,,
5,AA002-60-SLV,AA002-SLV-00-60-00,โคมไฟระย้า,สีเงิน,,60,,
6,AA002-80-SLV,AA002-SLV-00-80-00,โคมไฟระย้า,สีเงิน,,80,,
7,AA002-50-50-OTH,AA00250-CHR-00-50-00,โคมไฟระย้า,สีโครเมี่ยม,,50,,
8,AA002-60-60-OTH,AA00260-CHR-00-60-00,โคมไฟระย้า,สีโครเมี่ยม,,60,,
9,AA002-80-80-OTH,AA00280-CHR-00-80-00,โคมไฟระย้า,สีโครเมี่ยม,,80,,
10,AA018-40-BLK,AA018-BLK-00-40-00,โคมไฟระย้า,สีดำ,,40,,
11,AA018-50-BLK,AA018-BLK-00-50-00,โคมไฟระย้า,ดำ,,50,,
12,AA020-60-GLD,AA020-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
13,AA020-A-60-GLD,AA020-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
14,AA022-240-NA,AA022-XXX-00-240-00,โคมไฟระย้า,,,240,,
15,AA022-A-120-SLV,AA022-SLV-00-120-00,โคมไฟระย้า,เงิน,,120,,
16,AA025-30-GLD,AA025-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
17,AA031-20-RGD,AA031-RGD-00-20-00,โคมไฟระย้า,โรสโกลด์,,20,,
18,AA031-00-RGD,AA031-RGD-00-00-00,โคมไฟระย้า,สีโรสโกลด์,,,,
19,AA031-300-RGD,AA031-RGD-00-300-00,โคมไฟระย้า,โรสโกลด์,,300,,
20,AA035-18-RGD,AA035-RGD-00-18-00,โคมไฟระย้า,โรสโกลด์,,18,,
21,AA035-50-SLV,AA035-SLV-00-50-00,โคมไฟระย้า,น้ำเงิน,,50,,
22,AA035-38-NA,AA035-XXX-00-38-00,โคมไฟระย้า,,,38,,
23,AA035-350-GRY,AA035-GRY-00-350-00,โคมไฟระย้า,เทา-เงา,,350,,
24,AA035-350-SLV,AA035-SLV-00-350-00,โคมไฟระย้า,"น้ำเงิน,เงิน,โรสโกลด์",,350,,
25,AA035-00-GRY,AA035-GRY-00-00-00,โคมไฟระย้า,เทา-เงา,,,,
26,AA035-150-SLV,AA035-SLV-00-150-00,โคมไฟระย้า,สแตนเลสเงิน,,150,,
27,AA035-15-SLV,AA035-SLV-00-15-00,โคมไฟระย้า,น้ำเงินเข้ม,,15,,
28,AA035-28-SLV,AA035-SLV-00-28-00,โคมไฟระย้า,น้ำเงินเข้ม,,28,,
29,AA035-00-SLV,AA035-SLV-00-00-00,โคมไฟระย้า,น้ำเงินเข้ม,,,,
30,AA035-20-MIX,AA035-คละ-00-20-00,โคมไฟระย้า,คละแบบ,,20,,
31,AA035-38-GLD,AA035-GLD-00-38-00,โคมไฟระย้า,ทอง,,38,,
32,AA035-00-MIX,AA035-คละ-00-00-00,โคมไฟระย้า,คละสี,,,,
33,AA035-350-MIX,AA035-คละ-00-350-00,โคมไฟระย้า,คละสี,,350,,
34,AA035-18-SLV,AA035-SLV-00-18-00,โคมไฟระย้า,เงิน,,18,,
35,AA035-20-SLV,AA035-SLV-00-20-00,โคมไฟระย้า,เงิน,,20,,
36,AA035-28-GRN,AA035-GRN-00-28-00,โคมไฟระย้า,สีเขียว,,28,,
37,AA035-28-CYN,AA035-สีฟ-00-28-00,โคมไฟระย้า,สีฟ้า,,28,,
38,AA035-15-MIX,AA035-คละ-00-15-00,โคมไฟระย้า,คละสี,,15,,
39,AA035-60-MIX,AA035-คละ-00-60-00,โคมไฟระย้า,คละ,,60,,
40,AA035-38-MIX,AA035-คละ-00-38-00,โคมไฟระย้า,คละสี,,38,,
41,AA035-18-MIX,AA035-คละ-00-18-00,โคมไฟระย้า,คละสี,,18,,
42,AA035-00-NA,AA035-XXX-00-00-00,โคมไฟระย้า,,,,,
43,AA035-28-GRY,AA035-GRY-00-28-00,โคมไฟระย้า,เทา,,28,,
44,AA035-38-SLV,AA035-SLV-00-38-00,โคมไฟระย้า,น้ำเงิน,,38,,
45,AA036-60-60-NA,AA03660-XXX-00-60-00,โคมไฟระย้า,,,60,,
46,AA036-80-80-NA,AA03680-XXX-00-80-00,โคมไฟระย้า,,,80,,
47,AA037-150-NA,AA037-XXX-00-150-00,โคมไฟระย้า,,,150,,
48,AA038-80-NA,AA038-XXX-00-80-00,โคมไฟระย้า,,,80,,
49,AA038-60-GRY,AA038-GRY-00-60-00,โคมไฟระย้า,เทา,,60,,
50,AA038-60-NA,AA038-XXX-00-60-00,โคมไฟระย้า,,,60,,
51,AA039-340-BLK,AA039-BLK-00-340-00,โคมไฟระย้า,ดำเงา,,340,,
52,AA044-105-GLD,AA044-GLD-00-105-00,โคมไฟระย้า,ทอง,,105,,
53,AA044-85-GLD,AA044-GLD-00-85-00,โคมไฟระย้า,ทอง,,85,,
54,AA044-00-GLD,AA044-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
55,AA044-1-00-GLD,AA0441-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
56,AA045-100-NA,AA045-XXX-00-100-00,โคมไฟระย้า,,,100,,
57,AA046-100-NA,AA046-XXX-00-100-00,โคมไฟระย้า,,,100,,
58,AA047-80-RGD,AA047-RGD-00-80-00,โคมไฟระย้า,โรสโกลด์,,80,,
59,AA047-100-GLD,AA047-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
60,AA051-40-NA,AA051-XXX-00-40-00,โคมไฟระย้า,,,40,,
61,AA051-40-WHT,AA051-WHT-00-40-00,โคมไฟระย้า,ขาว,,40,,
62,AA051-40-SLV,AA051-SLV-00-40-00,โคมไฟระย้า,เงิน,,40,,
63,AA051-80-SLV,AA051-SLV-00-80-00,โคมไฟระย้า,เงิน,,80,,
64,AA054-80-GLD,AA054-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
65,AA058-40-GLD,AA058-GLD-00-40-00,โคมไฟระย้า,ทอง-ดำ,,40,,
66,AA058-40-NA,AA058-XXX-00-40-00,โคมไฟระย้า,,,40,,
67,AA059-70-GLD,AA059-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
68,AA059-50-NA,AA059-XXX-00-50-00,โคมไฟระย้า,,,50,,
69,AA060-50-NA,AA060-XXX-00-50-00,โคมไฟระย้า,,,50,,
70,AA061-70-GLD,AA061-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
71,AA061-60-NA,AA061-XXX-00-60-00,โคมไฟระย้า,,,60,,
72,AA064-80-SLV,AA064-SLV-00-80-00,โคมไฟระย้า,เงิน,,80,,
73,AA066-150-SLV,AA066-SLV-00-150-00,โคมไฟระย้า,สแตนเลสเงิน,,150,,
74,AA068-250-GLD,AA068-GLD-00-250-00,โคมไฟระย้า,ก้านสีทองใบสีขาว,,250,,
75,AA069-120-GLD,AA069-GLD-00-120-00,โคมไฟระย้า,ก้านสีทองใบสีขาว,,120,,
76,AA071-450-NA,AA071-XXX-00-450-00,โคมไฟระย้า,,,450,,
77,AA072-180-GLD,AA072-GLD-00-180-00,โคมไฟระย้า,ทอง,,180,,
78,AA072-80-GLD,AA072-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
79,AA106-160-00-BLK,AA106160-BLK-00-00-00,โคมไฟระย้า,ดำ,,,,
80,AA220-40-SLV,AA220-SLV-00-40-00,โคมไฟระย้า,เงิน,,40,,
81,AB-201-120-120-NA,AA201120-XXX-00-120-00,โคมไฟระย้า,,,120,,
82,AB023-40-NA,AA023-XXX-00-40-00,โคมไฟระย้า,,,40,,
83,AB023-30-GLD,AA023-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
84,AB023-40-RGD,AA023-RGD-00-40-00,โคมไฟระย้า,โรสโกลด์,,40,,
85,AB023-30-BRN,AA023-BRN-00-30-00,โคมไฟระย้า,น้ำตาล,,30,,
86,AB023-30-NA,AA023-XXX-00-30-00,โคมไฟระย้า,,,30,,
87,AB026-150-RGD,AA026-RGD-00-150-00,โคมไฟระย้า,โรสโกลด์,,150,,
88,AB026-150-GLD,AA026-GLD-00-150-00,โคมไฟระย้า,ทอง,,150,,
89,AB026-150-BLK,AA026-BLK-00-150-00,โคมไฟระย้า,ดำ,,150,,
90,AB049-110-120-NA,AA049110-XXX-00-120-00,โคมไฟระย้า,,,120,,
91,AB076-100-NA,AA076-XXX-00-100-00,โคมไฟระย้า,,,100,,
92,AB078-100-NA,AA078-XXX-00-100-00,โคมไฟระย้า,,,100,,
93,AB080-120-120-GLD,AA080120-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
94,AB080-60-60-GLD,AA08060-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
95,AB085-80-NA,AA085-XXX-00-80-00,โคมไฟระย้า,,,80,,
96,AB086-100-GLD,AA086-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
97,AB092-80-GLD,AA092-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
98,AB096-00-BLK,AA096-BLK-00-00-00,โคมไฟระย้า,ดำ,,,,
99,AB096-125-WHT,AA096-WHT-00-125-00,โคมไฟระย้า,ขาว,,125,,
100,AB096-100-100-NA,AA096100-XXX-00-100-00,โคมไฟระย้า,,,100,,
101,AB096-120-120-NA,AA096120-XXX-00-120-00,โคมไฟระย้า,,,120,,
102,AB096-120-00-NA,AA096120-XXX-00-00-00,โคมไฟระย้า,,,,,
103,AB100-100-GLD,AA100-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
104,AB106-180-GLD,AA106-GLD-00-180-00,โคมไฟระย้า,ทอง,,180,,
105,AB106-150-BLK,AA106-BLK-00-150-00,โคมไฟระย้า,ดำ,,150,,
106,AB106-120-120-NA,AA106120-XXX-00-120-00,โคมไฟระย้า,,,120,,
107,AB106-200-200-NA,AA106200-XXX-00-200-00,โคมไฟระย้า,,,200,,
108,AB106-200-180-NA,AA106200-XXX-00-180-00,โคมไฟระย้า,,,180,,
109,AB106-A-80-NA,AA106-XXX-00-80-00,โคมไฟระย้า,,,80,,
110,AB117-120-GLD,AA117-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
111,AB117-40-GLD,AA117-GLD-00-40-00,โคมไฟระย้า,ทอง,,40,,
112,AB117-100-GLD,AA117-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
113,AB117-00-GLD,AA117-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
114,AB117-80-GLD,AA117-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
115,AB117-120-NA,AA117-XXX-00-120-00,โคมไฟระย้า,,,120,,
116,AB137-120-NA,AA137-XXX-00-120-00,โคมไฟระย้า,,,120,,
117,AB137-120-GLD,AA137-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
118,AB137-150-SLV,AA137-SLV-00-150-00,โคมไฟระย้า,เงิน,,150,,
119,AB137-30-GLD,AA137-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
120,AB137-150-RGD,AA137-RGD-00-150-00,โคมไฟระย้า,โรสโกลด์,,150,,
121,AB140-80-GLD,AA140-GLD-00-80-00,โคมไฟระย้า,ทองS,,80,,
122,AB142-100-GLD,AA142-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
123,AB143-120-GLD,AA143-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
124,AB163-110-SLV,AA163-SLV-00-110-00,โคมไฟระย้า,เงิน,,110,,
125,AB163-90-NA,AA163-XXX-00-90-00,โคมไฟระย้า,,,90,,
126,AB168-60-BLK,AA168-BLK-00-60-00,โคมไฟระย้า,ดำ,,60,,
127,AB169-120-GLD,AA169-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
128,AB174-120-SLV,AA174-SLV-00-120-00,โคมไฟระย้า,สีเงิน,,120,,
129,AB174-120-120-GLD,AA174120-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
130,AB174-80-80-NA,AA17480-XXX-00-80-00,โคมไฟระย้า,,,80,,
131,AB181-120-GLD,AA181-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
132,AB181-60-GLD,AA181-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
133,AB181-120-120-NA,AA181120-XXX-00-120-00,โคมไฟระย้า,,,120,,
134,AB181-60-60-NA,AA18160-XXX-00-60-00,โคมไฟระย้า,,,60,,
135,AB182-120-120-NA,AA182120-XXX-00-120-00,โคมไฟระย้า,,,120,,
136,AB182-200-200-GLD,AA182200-GLD-00-200-00,โคมไฟระย้า,ทอง,,200,,
137,AB184-180-RGD,AA184-RGD-00-180-00,โคมไฟระย้า,โรสโกลด์,,180,,
138,AB184-120-RGD,AA184-RGD-00-120-00,โคมไฟระย้า,โรสโกลด์,,120,,
139,AB184-170-GLD,AA184-GLD-00-170-00,โคมไฟระย้า,ทอง,,170,,
140,AB184-150-150-RGD,AA184150-RGD-00-150-00,โคมไฟระย้า,โรสโกลด์,,150,,
141,AB184-200-200-RGD,AA184200-RGD-00-200-00,โคมไฟระย้า,โรสโกลด์,,200,,
142,AB186-125-BLK,AA186-BLK-00-125-00,โคมไฟระย้า,ดำ,,125,,
143,AB186-100-SLV,AA186-SLV-00-100-00,โคมไฟระย้า,สีเงิน,,100,,
144,AB186-120-120-NA,AA186120-XXX-00-120-00,โคมไฟระย้า,,,120,,
145,AB193-150-150-BLK,AA193150-BLK-00-150-00,โคมไฟระย้า,ดำ,,150,,
146,AB195-120-120-NA,AA195120-XXX-00-120-00,โคมไฟระย้า,,,120,,
147,AB195-75-75-NA,AA19575-XXX-00-75-00,โคมไฟระย้า,,,75,,
148,AB198-200-200-NA,AA198200-XXX-00-200-00,โคมไฟระย้า,,,200,,
149,AB199-120-GLD,AA199-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
150,AB202-120-GLD,AA202-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
151,AB202-60-NA,AA202-XXX-00-60-00,โคมไฟระย้า,,,60,,
152,AB205-85-GLD,AA205-GLD-00-85-00,โคมไฟระย้า,ทอง,,85,,
153,AB205-80-GLD,AA205-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
154,AB205-120-GLD,AA205-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
155,AB205-100-GLD,AA205-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
156,AB205-60-NA,AA205-XXX-00-60-00,โคมไฟระย้า,,,60,,
157,AB205-120-NA,AA205-XXX-00-120-00,โคมไฟระย้า,,,120,,
158,AB215-120-120-GLD,AA215120-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
159,AB215-120-120-NA,AA215120-XXX-00-120-00,โคมไฟระย้า,,,120,,
160,AB215-80-80-NA,AA21580-XXX-00-80-00,โคมไฟระย้า,,,80,,
161,AB216-60-60-GLD,AA21660-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
162,AB216-80-80-NA,AA21680-XXX-00-80-00,โคมไฟระย้า,,,80,,
163,AB220-40-GLD,AA220-GLD-00-40-00,โคมไฟระย้า,ทอง,,40,,
164,AB220-20-GLD,AA220-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
165,AB220-00-GLD,AA220-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
166,AB221-120-120-NA,AA221120-XXX-00-120-00,โคมไฟระย้า,,,120,,
167,AB221-80-80-GLD,AA22180-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
168,AB222-80-80-GLD,AA22280-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
169,AB223-2-NA,AA223-XXX-00-02-00,โคมไฟระย้า,,,2,,
170,AB224-40-BLK,AA224-BLK-00-40-00,โคมไฟระย้า,ดำ,,40,,
171,AB225-120-GLD,AA225-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
172,AB225-60-GLD,AA225-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
173,AB225-125-GLD,AA225-GLD-00-125-00,โคมไฟระย้า,ทอง,,125,,
174,AB226-80-GLD,AA226-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
175,AB226-120-GLD,AA226-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
176,AB227-40-SLV,AA227-SLV-00-40-00,โคมไฟระย้า,เงิน,,40,,
177,AB227-30-SLV,AA227-SLV-00-30-00,โคมไฟระย้า,สีเงิน,,30,,
178,AB228-60-GLD,AA228-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
179,AB228-120-GLD,AA228-GLD-00-120-00,โคมไฟระย้า,ทอง,,120,,
180,AB229-80-GLD,AA229-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
181,AB230-100-GLD,AA230-GLD-00-100-00,โคมไฟระย้า,สีทอง,,100,,
182,AB231-120-GLD,AA231-GLD-00-120-00,โคมไฟระย้า,สีทอง,,120,,
183,AC002-70-GLD,AA002-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
184,AC002-300-OTH,AA002-SGO-00-300-00,โคมไฟระย้า,SGold,,300,,
185,AC002-70-OTH,AA002-SGO-00-70-00,โคมไฟระย้า,SGold,,70,,
186,AC002-250-80-RGD,AA002250-RGD-00-80-00,โคมไฟระย้า,โรสโกลด์,,80,,
187,AC002-350-80-RGD,AA002350-RGD-00-80-00,โคมไฟระย้า,โรสโกลด์,,80,,
188,AC004-180-100-GLD,AA004180-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
189,AC004-200-120-CLR,AA004200-ใส-00-120-00,โคมไฟระย้า,ใส,,120,,
190,AC006-20-RGD,AA006-RGD-00-20-00,โคมไฟระย้า,โรสโกลด์,,20,,
191,AC006-B-20-NA,AA006-XXX-00-20-00,โคมไฟระย้า,,,20,,
192,AC006-B-30-NA,AA006-XXX-00-30-00,โคมไฟระย้า,,,30,,
193,AC006-B-20-GLD,AA006-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
194,AC006-B-3-BLK,AA006-BLK-00-03-00,โคมไฟระย้า,ดำ,,3,,
195,AC006-C-30-GLD,AA006-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
196,AC006-C-3-GLD,AA006-GLD-00-03-00,โคมไฟระย้า,ทอง,,3,,
197,AC006-C-30-SLV,AA006-SLV-00-30-00,โคมไฟระย้า,สีเงิน,,30,,
198,AC006-C-20-GLD,AA006-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
199,AC006-D-20-NA,AA006-XXX-00-20-00,โคมไฟระย้า,,,20,,
200,AC012-45-CLR,AA012-ใส-00-45-00,โคมไฟระย้า,ใส,,45,,
201,AC012-80-GLD,AA012-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
202,AC012-45-GLD,AA012-GLD-00-45-00,โคมไฟระย้า,ทอง,,45,,
203,AC012-180-45-GLD,AA012180-GLD-00-45-00,โคมไฟระย้า,ทอง,,45,,
204,AC012-210-60-NA,AA012210-XXX-00-60-00,โคมไฟระย้า,,,60,,
205,AC012-C6-30-NA,AA0126-XXX-00-30-00,โคมไฟระย้า,,,30,,
206,AC012-C8-30-NA,AA0128-XXX-00-30-00,โคมไฟระย้า,,,30,,
207,AC012-C9-20-NA,AA0129-XXX-00-20-00,โคมไฟระย้า,,,20,,
208,AC025-30-GLD,AA025-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
209,AC025-30-NA,AA025-XXX-00-30-00,โคมไฟระย้า,,,30,,
210,AC025-30-RGD,AA025-RGD-00-30-00,โคมไฟระย้า,โรสโกลด์,,30,,
211,AC025-30-BLK,AA025-BLK-00-30-00,โคมไฟระย้า,ดำ,,30,,
212,AC025-100-BLK,AA025-BLK-00-100-00,โคมไฟระย้า,ดำ,,100,,
213,AC025-30-SLV,AA025-SLV-00-30-00,โคมไฟระย้า,สีเงิน,,30,,
214,AC025-20-RGD,AA025-RGD-00-20-00,โคมไฟระย้า,โรสโกลด์,,20,,
215,AC025-40-GLD,AA025-GLD-00-40-00,โคมไฟระย้า,ทอง,,40,,
216,AC025-6-30-GLD,AA0256-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
217,AC025-6-30-BLK,AA0256-BLK-00-30-00,โคมไฟระย้า,ดำ,,30,,
218,AC026-60-GLD,AA026-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
219,AC026-100-BLK,AA026-BLK-00-100-00,โคมไฟระย้า,ดำ,,100,,
220,AC026-60-BLK,AA026-BLK-00-60-00,โคมไฟระย้า,ดำ,,60,,
221,AC026-100-GLD,AA026-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
222,AC028-3-60-GLD,AA0283-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
223,AC028-5-30-BLK,AA0285-BLK-00-30-00,โคมไฟระย้า,ดำ,,30,,
224,AC028-6-30-NA,AA0286-XXX-00-30-00,โคมไฟระย้า,,,30,,
225,AC028-6-40-NA,AA0286-XXX-00-40-00,โคมไฟระย้า,,,40,,
226,AC033-180-60-SLV,AA033180-SLV-00-60-00,โคมไฟระย้า,เงิน,,60,,
227,AC040-80-GRY,AA040-GRY-00-80-00,โคมไฟระย้า,เทา,,80,,
228,AC040-80-GLD,AA040-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
229,AC040-60-GLD,AA040-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
230,AC040-45-GLD,AA040-GLD-00-45-00,โคมไฟระย้า,สีทอง,,45,,
231,AC040-210-70-NA,AA040210-XXX-00-70-00,โคมไฟระย้า,,,70,,
232,AC040-210-70-GLD,AA040210-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
233,AC040-260-80-NA,AA040260-XXX-00-80-00,โคมไฟระย้า,,,80,,
234,AC041-150-55-GLD,AA041150-GLD-00-55-00,โคมไฟระย้า,ทอง,,55,,
235,AC042-60-GLD,AA042-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
236,AC042-180-60-NA,AA042180-XXX-00-60-00,โคมไฟระย้า,,,60,,
237,AC042-210-70-GLD,AA042210-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
238,AC044-85-NA,AA044-XXX-00-85-00,โคมไฟระย้า,,,85,,
239,AC046-60-SLV,AA046-SLV-00-60-00,โคมไฟระย้า,เงิน,,60,,
240,AC046-200-60-CLR,AA046200-คริ-00-60-00,โคมไฟระย้า,คริสตัลใส,,60,,
241,AC046-200-200-NA,AA046200-XXX-00-200-00,โคมไฟระย้า,,,200,,
242,AC052-100-GLD,AA052-GLD-00-100-00,โคมไฟระย้า,ทอง,,100,,
243,AC052-20-GLD,AA052-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
244,AC052-20-NA,AA052-XXX-00-20-00,โคมไฟระย้า,,,20,,
245,AC052-100-NA,AA052-XXX-00-100-00,โคมไฟระย้า,,,100,,
246,AC052-30-GLD,AA052-GLD-00-30-00,โคมไฟระย้า,ทอง,,30,,
247,AC052-A-30-NA,AA052-XXX-00-30-00,โคมไฟระย้า,,,30,,
248,AC052-A-20-NA,AA052-XXX-00-20-00,โคมไฟระย้า,,,20,,
249,AC052-A-20-GLD,AA052-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
250,AC052-B-40-GLD,AA052-GLD-00-40-00,โคมไฟระย้า,ทอง,,40,,
251,AC052-B-40-SLV,AA052-SLV-00-40-00,โคมไฟระย้า,เงิน,,40,,
252,AC052-B-00-SLV,AA052-SLV-00-00-00,โคมไฟระย้า,เงิน,,,,
253,AC052-Cball-20-GLD,AA052-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
254,AC052-CBall-8-GLD,AA052-GLD-00-08-00,โคมไฟระย้า,ทอง,,8,,
255,AC052-CBall-20-GLD,AA052-GLD-00-20-00,โคมไฟระย้า,ทอง,,20,,
256,AC052-Cball-30-RGD,AA052-RGD-00-30-00,โคมไฟระย้า,โรสโกลด์,,30,,
257,AC052-Cball-30-SLV,AA052-SLV-00-30-00,โคมไฟระย้า,สีเงิน,,30,,
258,AC052-Cball-20-RGD,AA052-RGD-00-20-00,โคมไฟระย้า,โรสโกลด์,,20,,
259,AC052-CBall-40-GLD,AA052-GLD-00-40-00,โคมไฟระย้า,ทอง,,40,,
260,AC060-60-GLD,AA060-GLD-00-60-00,โคมไฟระย้า,ทอง,,60,,
261,AC060-70-GLD,AA060-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
262,AC060-80-GLD,AA060-GLD-00-80-00,โคมไฟระย้า,ทอง,,80,,
263,AC060-00-GLD,AA060-GLD-00-00-00,โคมไฟระย้า,ทอง,,,,
264,AC060-210-70-GLD,AA060210-GLD-00-70-00,โคมไฟระย้า,ทอง,,70,,
